ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
1867,Please store the stored.,Healthcare,Advanced,"['temperature', 'stored', 'nurse']",Imperative Sentences,Difficult,Listening,Store the stored.,What should you do with the stored?,Store the stored.,"['Use a different stored.', 'Ignore the stored.']"
1868,Please check the repair.,Automotive,Intermediate,"['repair', 'inspection', 'brakes']",Imperative Sentences,Moderate,Reading,Check the repair.,What should you do with the repair?,Check the repair.,"['Do nothing with the repair.', 'Ignore the repair.']"
1869,Please inspect the network.,IT,Intermediate,"['hardware', 'network', 'software']",Imperative Sentences,Moderate,Listening,Inspect the network.,What should you do with the network?,Inspect the network.,"['Use a different network.', 'Ignore the network.']"
1870,"If it is damaged, check the product.",Retail,Intermediate,"['product', 'sales', 'customer']",Conditional Sentences,Moderate,Speaking,Check the product.,What happens if the it is damaged?,Check the product.,"['Do nothing with the product.', 'Use a different product.']"
1871,the supervisor said to store the safety.,Construction,Intermediate,"['harness', 'equipment', 'safety']",Reported Speech,Moderate,Reading,Store the safety.,What did the supervisor say?,Store the safety.,"['Do nothing with the safety.', 'Use a different safety.']"
1872,the supervisor said to inspect the shift.,Hospitality,Advanced,"['shift', 'clean', 'service']",Reported Speech,Difficult,Speaking,Inspect the shift.,What did the supervisor say?,Inspect the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1873,the supervisor said to store the temperature.,Healthcare,Advanced,"['stored', 'nurse', 'temperature']",Reported Speech,Difficult,Listening,Store the temperature.,What did the supervisor say?,Store the temperature.,"['Do nothing with the temperature.', 'Use a different temperature.']"
1874,the supervisor said to check the secured.,Construction,Intermediate,"['safety', 'secured', 'equipment']",Reported Speech,Moderate,Reading,Check the secured.,What did the supervisor say?,Check the secured.,"['Do nothing with the secured.', 'Ignore the secured.']"
1875,inspection must be check.,Automotive,Advanced,"['brakes', 'inspection', 'oil']",Passive Voice,Difficult,Listening,Check the inspection.,What must be done with the inspection?,Check the inspection.,"['Do nothing with the inspection.', 'Use a different inspection.']"
1876,Please secure the inventory.,Retail,Beginner,"['product', 'checkout', 'inventory']",Imperative Sentences,Easy,Speaking,Secure the inventory.,What should you do with the inventory?,Secure the inventory.,"['Ignore the inventory.', 'Use a different inventory.']"
1877,You should secure the sales.,Retail,Intermediate,"['customer', 'sales', 'checkout']",Modal Verbs,Moderate,Writing,Secure the sales.,What is recommended to do with the sales?,Secure the sales.,"['Use a different sales.', 'Ignore the sales.']"
1878,sales must be secure.,Retail,Advanced,"['sales', 'product', 'checkout']",Passive Voice,Difficult,Speaking,Secure the sales.,What must be done with the sales?,Secure the sales.,"['Use a different sales.', 'Do nothing with the sales.']"
1879,Please clean the medication.,Healthcare,Advanced,"['medication', 'stored', 'temperature']",Imperative Sentences,Difficult,Listening,Clean the medication.,What should you do with the medication?,Clean the medication.,"['Ignore the medication.', 'Use a different medication.']"
1880,harvest must be inspect.,Agriculture,Beginner,"['soil', 'harvest', 'crop']",Passive Voice,Easy,Writing,Inspect the harvest.,What must be done with the harvest?,Inspect the harvest.,"['Ignore the harvest.', 'Use a different harvest.']"
1881,network must be check.,IT,Intermediate,"['system', 'network', 'software']",Passive Voice,Moderate,Reading,Check the network.,What must be done with the network?,Check the network.,"['Use a different network.', 'Do nothing with the network.']"
1882,You should check the software.,IT,Intermediate,"['software', 'reboot', 'system']",Modal Verbs,Moderate,Reading,Check the software.,What is recommended to do with the software?,Check the software.,"['Use a different software.', 'Do nothing with the software.']"
1883,"If it is damaged, inspect the hygiene.",Hospitality,Beginner,"['hygiene', 'clean', 'service']",Conditional Sentences,Easy,Speaking,Inspect the hygiene.,What happens if the it is damaged?,Inspect the hygiene.,"['Use a different hygiene.', 'Do nothing with the hygiene.']"
1884,You should clean the soil.,Agriculture,Beginner,"['irrigation', 'crop', 'soil']",Modal Verbs,Easy,Reading,Clean the soil.,What is recommended to do with the soil?,Clean the soil.,"['Ignore the soil.', 'Use a different soil.']"
1885,the supervisor said to secure the clean.,Hospitality,Advanced,"['hygiene', 'service', 'clean']",Reported Speech,Difficult,Speaking,Secure the clean.,What did the supervisor say?,Secure the clean.,"['Do nothing with the clean.', 'Use a different clean.']"
1886,You should check the oil.,Automotive,Advanced,"['engine', 'brakes', 'oil']",Modal Verbs,Difficult,Listening,Check the oil.,What is recommended to do with the oil?,Check the oil.,"['Ignore the oil.', 'Use a different oil.']"
1887,"If it is damaged, store the crop.",Agriculture,Beginner,"['harvest', 'yield', 'crop']",Conditional Sentences,Easy,Writing,Store the crop.,What happens if the it is damaged?,Store the crop.,"['Do nothing with the crop.', 'Use a different crop.']"
1888,the supervisor said to secure the inventory.,Retail,Intermediate,"['inventory', 'checkout', 'sales']",Reported Speech,Moderate,Speaking,Secure the inventory.,What did the supervisor say?,Secure the inventory.,"['Use a different inventory.', 'Do nothing with the inventory.']"
1889,the supervisor said to clean the harvest.,Agriculture,Beginner,"['harvest', 'yield', 'irrigation']",Reported Speech,Easy,Writing,Clean the harvest.,What did the supervisor say?,Clean the harvest.,"['Use a different harvest.', 'Ignore the harvest.']"
1890,Please secure the system.,IT,Intermediate,"['system', 'network', 'reboot']",Imperative Sentences,Moderate,Reading,Secure the system.,What should you do with the system?,Secure the system.,"['Use a different system.', 'Ignore the system.']"
1891,Please inspect the clean.,Hospitality,Intermediate,"['clean', 'service', 'hygiene']",Imperative Sentences,Moderate,Speaking,Inspect the clean.,What should you do with the clean?,Inspect the clean.,"['Ignore the clean.', 'Do nothing with the clean.']"
1892,You should store the checkout.,Retail,Beginner,"['product', 'checkout', 'customer']",Modal Verbs,Easy,Writing,Store the checkout.,What is recommended to do with the checkout?,Store the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
1893,temperature must be store.,Healthcare,Beginner,"['medication', 'temperature', 'stored']",Passive Voice,Easy,Reading,Store the temperature.,What must be done with the temperature?,Store the temperature.,"['Ignore the temperature.', 'Do nothing with the temperature.']"
1894,Please secure the system.,IT,Intermediate,"['network', 'system', 'reboot']",Imperative Sentences,Moderate,Listening,Secure the system.,What should you do with the system?,Secure the system.,"['Ignore the system.', 'Use a different system.']"
1895,"If it is damaged, clean the safety.",Construction,Advanced,"['safety', 'secured', 'tools']",Conditional Sentences,Difficult,Reading,Clean the safety.,What happens if the it is damaged?,Clean the safety.,"['Ignore the safety.', 'Use a different safety.']"
1896,product must be store.,Retail,Advanced,"['product', 'inventory', 'sales']",Passive Voice,Difficult,Writing,Store the product.,What must be done with the product?,Store the product.,"['Use a different product.', 'Ignore the product.']"
1897,sales must be store.,Retail,Beginner,"['sales', 'checkout', 'product']",Passive Voice,Easy,Speaking,Store the sales.,What must be done with the sales?,Store the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
1898,You should store the software.,IT,Intermediate,"['reboot', 'system', 'software']",Modal Verbs,Moderate,Listening,Store the software.,What is recommended to do with the software?,Store the software.,"['Ignore the software.', 'Use a different software.']"
1899,"If it is damaged, store the soil.",Agriculture,Advanced,"['soil', 'crop', 'yield']",Conditional Sentences,Difficult,Writing,Store the soil.,What happens if the it is damaged?,Store the soil.,"['Do nothing with the soil.', 'Ignore the soil.']"
1900,"If it is damaged, check the oil.",Automotive,Beginner,"['engine', 'repair', 'oil']",Conditional Sentences,Easy,Listening,Check the oil.,What happens if the it is damaged?,Check the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
1901,You should store the oil.,Automotive,Beginner,"['engine', 'repair', 'oil']",Modal Verbs,Easy,Reading,Store the oil.,What is recommended to do with the oil?,Store the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
1902,the supervisor said to clean the shift.,Hospitality,Beginner,"['shift', 'hygiene', 'clean']",Reported Speech,Easy,Speaking,Clean the shift.,What did the supervisor say?,Clean the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
1903,"If it is damaged, check the medication.",Healthcare,Beginner,"['temperature', 'stored', 'medication']",Conditional Sentences,Easy,Listening,Check the medication.,What happens if the it is damaged?,Check the medication.,"['Do nothing with the medication.', 'Use a different medication.']"
1904,"If it is damaged, inspect the checkout.",Retail,Advanced,"['product', 'checkout', 'sales']",Conditional Sentences,Difficult,Writing,Inspect the checkout.,What happens if the it is damaged?,Inspect the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
1905,the supervisor said to store the brakes.,Automotive,Beginner,"['brakes', 'inspection', 'engine']",Reported Speech,Easy,Listening,Store the brakes.,What did the supervisor say?,Store the brakes.,"['Ignore the brakes.', 'Do nothing with the brakes.']"
1906,"If it is damaged, check the clean.",Hospitality,Beginner,"['hygiene', 'shift', 'clean']",Conditional Sentences,Easy,Writing,Check the clean.,What happens if the it is damaged?,Check the clean.,"['Do nothing with the clean.', 'Ignore the clean.']"
1907,Please inspect the software.,IT,Intermediate,"['system', 'software', 'reboot']",Imperative Sentences,Moderate,Reading,Inspect the software.,What should you do with the software?,Inspect the software.,"['Ignore the software.', 'Do nothing with the software.']"
1908,Please store the shift.,Hospitality,Beginner,"['service', 'shift', 'workstation']",Imperative Sentences,Easy,Speaking,Store the shift.,What should you do with the shift?,Store the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1909,the supervisor said to secure the product.,Retail,Advanced,"['customer', 'product', 'inventory']",Reported Speech,Difficult,Writing,Secure the product.,What did the supervisor say?,Secure the product.,"['Use a different product.', 'Ignore the product.']"
1910,Please store the system.,IT,Intermediate,"['system', 'software', 'network']",Imperative Sentences,Moderate,Listening,Store the system.,What should you do with the system?,Store the system.,"['Do nothing with the system.', 'Ignore the system.']"
1911,Please clean the network.,IT,Intermediate,"['network', 'reboot', 'system']",Imperative Sentences,Moderate,Listening,Clean the network.,What should you do with the network?,Clean the network.,"['Ignore the network.', 'Use a different network.']"
1912,the supervisor said to store the crop.,Agriculture,Advanced,"['soil', 'irrigation', 'crop']",Reported Speech,Difficult,Writing,Store the crop.,What did the supervisor say?,Store the crop.,"['Do nothing with the crop.', 'Ignore the crop.']"
1913,Please check the stored.,Healthcare,Advanced,"['stored', 'patient', 'temperature']",Imperative Sentences,Difficult,Listening,Check the stored.,What should you do with the stored?,Check the stored.,"['Do nothing with the stored.', 'Ignore the stored.']"
1914,"If it is damaged, store the stored.",Healthcare,Intermediate,"['medication', 'stored', 'nurse']",Conditional Sentences,Moderate,Listening,Store the stored.,What happens if the it is damaged?,Store the stored.,"['Use a different stored.', 'Ignore the stored.']"
1915,"If it is damaged, clean the checkout.",Retail,Intermediate,"['product', 'checkout', 'inventory']",Conditional Sentences,Moderate,Speaking,Clean the checkout.,What happens if the it is damaged?,Clean the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
1916,reboot must be inspect.,IT,Beginner,"['hardware', 'network', 'reboot']",Passive Voice,Easy,Listening,Inspect the reboot.,What must be done with the reboot?,Inspect the reboot.,"['Use a different reboot.', 'Do nothing with the reboot.']"
1917,You should inspect the patient.,Healthcare,Advanced,"['stored', 'patient', 'medication']",Modal Verbs,Difficult,Reading,Inspect the patient.,What is recommended to do with the patient?,Inspect the patient.,"['Ignore the patient.', 'Use a different patient.']"
1918,Please inspect the inventory.,Retail,Intermediate,"['sales', 'inventory', 'product']",Imperative Sentences,Moderate,Speaking,Inspect the inventory.,What should you do with the inventory?,Inspect the inventory.,"['Use a different inventory.', 'Do nothing with the inventory.']"
1919,the supervisor said to check the service.,Hospitality,Beginner,"['clean', 'workstation', 'service']",Reported Speech,Easy,Speaking,Check the service.,What did the supervisor say?,Check the service.,"['Ignore the service.', 'Use a different service.']"
1920,"If it is damaged, secure the customer.",Retail,Beginner,"['inventory', 'checkout', 'customer']",Conditional Sentences,Easy,Speaking,Secure the customer.,What happens if the it is damaged?,Secure the customer.,"['Use a different customer.', 'Ignore the customer.']"
1921,Please check the checkout.,Retail,Intermediate,"['inventory', 'sales', 'checkout']",Imperative Sentences,Moderate,Writing,Check the checkout.,What should you do with the checkout?,Check the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
1922,"If it is damaged, check the repair.",Automotive,Beginner,"['repair', 'oil', 'brakes']",Conditional Sentences,Easy,Reading,Check the repair.,What happens if the it is damaged?,Check the repair.,"['Use a different repair.', 'Do nothing with the repair.']"
1923,"If it is damaged, clean the yield.",Agriculture,Beginner,"['yield', 'harvest', 'crop']",Conditional Sentences,Easy,Reading,Clean the yield.,What happens if the it is damaged?,Clean the yield.,"['Use a different yield.', 'Do nothing with the yield.']"
1924,You should clean the harvest.,Agriculture,Beginner,"['crop', 'soil', 'harvest']",Modal Verbs,Easy,Reading,Clean the harvest.,What is recommended to do with the harvest?,Clean the harvest.,"['Use a different harvest.', 'Ignore the harvest.']"
1925,hygiene must be clean.,Hospitality,Advanced,"['hygiene', 'clean', 'workstation']",Passive Voice,Difficult,Writing,Clean the hygiene.,What must be done with the hygiene?,Clean the hygiene.,"['Do nothing with the hygiene.', 'Ignore the hygiene.']"
1926,You should inspect the product.,Retail,Intermediate,"['customer', 'checkout', 'product']",Modal Verbs,Moderate,Speaking,Inspect the product.,What is recommended to do with the product?,Inspect the product.,"['Ignore the product.', 'Use a different product.']"
1927,Please inspect the irrigation.,Agriculture,Beginner,"['crop', 'irrigation', 'harvest']",Imperative Sentences,Easy,Writing,Inspect the irrigation.,What should you do with the irrigation?,Inspect the irrigation.,"['Ignore the irrigation.', 'Use a different irrigation.']"
1928,You should inspect the equipment.,Construction,Intermediate,"['equipment', 'tools', 'safety']",Modal Verbs,Moderate,Reading,Inspect the equipment.,What is recommended to do with the equipment?,Inspect the equipment.,"['Do nothing with the equipment.', 'Ignore the equipment.']"
1929,the supervisor said to secure the engine.,Automotive,Beginner,"['engine', 'repair', 'inspection']",Reported Speech,Easy,Listening,Secure the engine.,What did the supervisor say?,Secure the engine.,"['Do nothing with the engine.', 'Use a different engine.']"
1930,You should store the service.,Hospitality,Advanced,"['workstation', 'service', 'shift']",Modal Verbs,Difficult,Speaking,Store the service.,What is recommended to do with the service?,Store the service.,"['Ignore the service.', 'Use a different service.']"
1931,You should clean the medication.,Healthcare,Beginner,"['patient', 'medication', 'stored']",Modal Verbs,Easy,Listening,Clean the medication.,What is recommended to do with the medication?,Clean the medication.,"['Do nothing with the medication.', 'Ignore the medication.']"
1932,Please inspect the hardware.,IT,Intermediate,"['reboot', 'hardware', 'software']",Imperative Sentences,Moderate,Listening,Inspect the hardware.,What should you do with the hardware?,Inspect the hardware.,"['Do nothing with the hardware.', 'Use a different hardware.']"
1933,Please secure the product.,Retail,Intermediate,"['checkout', 'product', 'sales']",Imperative Sentences,Moderate,Writing,Secure the product.,What should you do with the product?,Secure the product.,"['Do nothing with the product.', 'Ignore the product.']"
1934,You should store the secured.,Construction,Advanced,"['secured', 'equipment', 'harness']",Modal Verbs,Difficult,Speaking,Store the secured.,What is recommended to do with the secured?,Store the secured.,"['Ignore the secured.', 'Use a different secured.']"
1935,"If it is damaged, store the product.",Retail,Beginner,"['customer', 'product', 'inventory']",Conditional Sentences,Easy,Writing,Store the product.,What happens if the it is damaged?,Store the product.,"['Use a different product.', 'Ignore the product.']"
1936,shift must be inspect.,Hospitality,Advanced,"['hygiene', 'shift', 'service']",Passive Voice,Difficult,Speaking,Inspect the shift.,What must be done with the shift?,Inspect the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1937,You should check the system.,IT,Beginner,"['software', 'system', 'reboot']",Modal Verbs,Easy,Reading,Check the system.,What is recommended to do with the system?,Check the system.,"['Ignore the system.', 'Use a different system.']"
1938,the supervisor said to clean the nurse.,Healthcare,Advanced,"['stored', 'medication', 'nurse']",Reported Speech,Difficult,Listening,Clean the nurse.,What did the supervisor say?,Clean the nurse.,"['Do nothing with the nurse.', 'Ignore the nurse.']"
1939,Please clean the hygiene.,Hospitality,Intermediate,"['service', 'shift', 'hygiene']",Imperative Sentences,Moderate,Speaking,Clean the hygiene.,What should you do with the hygiene?,Clean the hygiene.,"['Ignore the hygiene.', 'Use a different hygiene.']"
1940,"If it is damaged, inspect the medication.",Healthcare,Advanced,"['temperature', 'medication', 'patient']",Conditional Sentences,Difficult,Listening,Inspect the medication.,What happens if the it is damaged?,Inspect the medication.,"['Use a different medication.', 'Ignore the medication.']"
1941,You should store the workstation.,Hospitality,Intermediate,"['workstation', 'hygiene', 'clean']",Modal Verbs,Moderate,Writing,Store the workstation.,What is recommended to do with the workstation?,Store the workstation.,"['Use a different workstation.', 'Do nothing with the workstation.']"
1942,checkout must be check.,Retail,Beginner,"['checkout', 'inventory', 'sales']",Passive Voice,Easy,Speaking,Check the checkout.,What must be done with the checkout?,Check the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
1943,You should store the patient.,Healthcare,Intermediate,"['temperature', 'nurse', 'patient']",Modal Verbs,Moderate,Listening,Store the patient.,What is recommended to do with the patient?,Store the patient.,"['Use a different patient.', 'Do nothing with the patient.']"
1944,"If it is damaged, secure the stored.",Healthcare,Advanced,"['nurse', 'patient', 'stored']",Conditional Sentences,Difficult,Reading,Secure the stored.,What happens if the it is damaged?,Secure the stored.,"['Do nothing with the stored.', 'Use a different stored.']"
1945,You should check the reboot.,IT,Advanced,"['reboot', 'system', 'software']",Modal Verbs,Difficult,Reading,Check the reboot.,What is recommended to do with the reboot?,Check the reboot.,"['Use a different reboot.', 'Do nothing with the reboot.']"
1946,You should store the product.,Retail,Beginner,"['product', 'checkout', 'customer']",Modal Verbs,Easy,Speaking,Store the product.,What is recommended to do with the product?,Store the product.,"['Use a different product.', 'Do nothing with the product.']"
1947,sales must be inspect.,Retail,Advanced,"['sales', 'inventory', 'product']",Passive Voice,Difficult,Writing,Inspect the sales.,What must be done with the sales?,Inspect the sales.,"['Do nothing with the sales.', 'Ignore the sales.']"
1948,You should store the service.,Hospitality,Beginner,"['clean', 'hygiene', 'service']",Modal Verbs,Easy,Writing,Store the service.,What is recommended to do with the service?,Store the service.,"['Use a different service.', 'Do nothing with the service.']"
1949,the supervisor said to inspect the oil.,Automotive,Beginner,"['engine', 'repair', 'oil']",Reported Speech,Easy,Listening,Inspect the oil.,What did the supervisor say?,Inspect the oil.,"['Do nothing with the oil.', 'Use a different oil.']"
1950,the supervisor said to store the yield.,Agriculture,Intermediate,"['yield', 'harvest', 'crop']",Reported Speech,Moderate,Writing,Store the yield.,What did the supervisor say?,Store the yield.,"['Use a different yield.', 'Ignore the yield.']"
1951,Please inspect the inventory.,Retail,Advanced,"['inventory', 'customer', 'sales']",Imperative Sentences,Difficult,Speaking,Inspect the inventory.,What should you do with the inventory?,Inspect the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
1952,Please inspect the equipment.,Construction,Advanced,"['harness', 'equipment', 'secured']",Imperative Sentences,Difficult,Speaking,Inspect the equipment.,What should you do with the equipment?,Inspect the equipment.,"['Do nothing with the equipment.', 'Use a different equipment.']"
1953,Please clean the harness.,Construction,Intermediate,"['harness', 'safety', 'tools']",Imperative Sentences,Moderate,Reading,Clean the harness.,What should you do with the harness?,Clean the harness.,"['Do nothing with the harness.', 'Use a different harness.']"
1954,Please store the nurse.,Healthcare,Advanced,"['nurse', 'medication', 'patient']",Imperative Sentences,Difficult,Reading,Store the nurse.,What should you do with the nurse?,Store the nurse.,"['Use a different nurse.', 'Ignore the nurse.']"
1955,the supervisor said to inspect the hardware.,IT,Beginner,"['hardware', 'software', 'reboot']",Reported Speech,Easy,Reading,Inspect the hardware.,What did the supervisor say?,Inspect the hardware.,"['Ignore the hardware.', 'Do nothing with the hardware.']"
1956,You should inspect the workstation.,Hospitality,Beginner,"['workstation', 'clean', 'hygiene']",Modal Verbs,Easy,Writing,Inspect the workstation.,What is recommended to do with the workstation?,Inspect the workstation.,"['Use a different workstation.', 'Ignore the workstation.']"
1957,"If it is damaged, inspect the oil.",Automotive,Beginner,"['engine', 'oil', 'brakes']",Conditional Sentences,Easy,Listening,Inspect the oil.,What happens if the it is damaged?,Inspect the oil.,"['Do nothing with the oil.', 'Use a different oil.']"
1958,Please store the shift.,Hospitality,Advanced,"['workstation', 'shift', 'service']",Imperative Sentences,Difficult,Writing,Store the shift.,What should you do with the shift?,Store the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1959,Please check the sales.,Retail,Advanced,"['inventory', 'sales', 'product']",Imperative Sentences,Difficult,Speaking,Check the sales.,What should you do with the sales?,Check the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
1960,"If it is damaged, secure the equipment.",Construction,Beginner,"['equipment', 'tools', 'secured']",Conditional Sentences,Easy,Reading,Secure the equipment.,What happens if the it is damaged?,Secure the equipment.,"['Do nothing with the equipment.', 'Ignore the equipment.']"
1961,Please check the medication.,Healthcare,Advanced,"['stored', 'patient', 'medication']",Imperative Sentences,Difficult,Reading,Check the medication.,What should you do with the medication?,Check the medication.,"['Use a different medication.', 'Do nothing with the medication.']"
1962,Please check the stored.,Healthcare,Beginner,"['temperature', 'medication', 'stored']",Imperative Sentences,Easy,Reading,Check the stored.,What should you do with the stored?,Check the stored.,"['Ignore the stored.', 'Use a different stored.']"
1963,the supervisor said to check the shift.,Hospitality,Beginner,"['shift', 'workstation', 'service']",Reported Speech,Easy,Speaking,Check the shift.,What did the supervisor say?,Check the shift.,"['Ignore the shift.', 'Do nothing with the shift.']"
1964,Please clean the product.,Retail,Advanced,"['inventory', 'product', 'checkout']",Imperative Sentences,Difficult,Writing,Clean the product.,What should you do with the product?,Clean the product.,"['Do nothing with the product.', 'Use a different product.']"
1965,You should store the brakes.,Automotive,Intermediate,"['engine', 'brakes', 'inspection']",Modal Verbs,Moderate,Reading,Store the brakes.,What is recommended to do with the brakes?,Store the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
1966,hygiene must be store.,Hospitality,Beginner,"['hygiene', 'shift', 'clean']",Passive Voice,Easy,Speaking,Store the hygiene.,What must be done with the hygiene?,Store the hygiene.,"['Use a different hygiene.', 'Ignore the hygiene.']"
1967,the supervisor said to clean the workstation.,Hospitality,Advanced,"['workstation', 'hygiene', 'service']",Reported Speech,Difficult,Speaking,Clean the workstation.,What did the supervisor say?,Clean the workstation.,"['Ignore the workstation.', 'Do nothing with the workstation.']"
1968,network must be clean.,IT,Beginner,"['system', 'network', 'hardware']",Passive Voice,Easy,Listening,Clean the network.,What must be done with the network?,Clean the network.,"['Ignore the network.', 'Use a different network.']"
1969,secured must be inspect.,Construction,Advanced,"['safety', 'secured', 'harness']",Passive Voice,Difficult,Speaking,Inspect the secured.,What must be done with the secured?,Inspect the secured.,"['Ignore the secured.', 'Use a different secured.']"
1970,the supervisor said to inspect the system.,IT,Intermediate,"['hardware', 'system', 'software']",Reported Speech,Moderate,Reading,Inspect the system.,What did the supervisor say?,Inspect the system.,"['Do nothing with the system.', 'Use a different system.']"
1971,"If it is damaged, check the inventory.",Retail,Beginner,"['inventory', 'checkout', 'customer']",Conditional Sentences,Easy,Speaking,Check the inventory.,What happens if the it is damaged?,Check the inventory.,"['Do nothing with the inventory.', 'Ignore the inventory.']"
1972,Please secure the engine.,Automotive,Intermediate,"['repair', 'engine', 'brakes']",Imperative Sentences,Moderate,Reading,Secure the engine.,What should you do with the engine?,Secure the engine.,"['Ignore the engine.', 'Do nothing with the engine.']"
1973,You should check the engine.,Automotive,Advanced,"['oil', 'brakes', 'engine']",Modal Verbs,Difficult,Listening,Check the engine.,What is recommended to do with the engine?,Check the engine.,"['Use a different engine.', 'Ignore the engine.']"
1974,hardware must be check.,IT,Advanced,"['network', 'hardware', 'system']",Passive Voice,Difficult,Reading,Check the hardware.,What must be done with the hardware?,Check the hardware.,"['Do nothing with the hardware.', 'Ignore the hardware.']"
1975,checkout must be secure.,Retail,Advanced,"['checkout', 'customer', 'sales']",Passive Voice,Difficult,Speaking,Secure the checkout.,What must be done with the checkout?,Secure the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
1976,Please check the network.,IT,Advanced,"['network', 'software', 'reboot']",Imperative Sentences,Difficult,Listening,Check the network.,What should you do with the network?,Check the network.,"['Ignore the network.', 'Use a different network.']"
1977,the supervisor said to secure the soil.,Agriculture,Advanced,"['yield', 'soil', 'irrigation']",Reported Speech,Difficult,Reading,Secure the soil.,What did the supervisor say?,Secure the soil.,"['Ignore the soil.', 'Do nothing with the soil.']"
1978,Please inspect the safety.,Construction,Intermediate,"['safety', 'tools', 'equipment']",Imperative Sentences,Moderate,Reading,Inspect the safety.,What should you do with the safety?,Inspect the safety.,"['Use a different safety.', 'Ignore the safety.']"
1979,You should clean the soil.,Agriculture,Beginner,"['soil', 'crop', 'yield']",Modal Verbs,Easy,Reading,Clean the soil.,What is recommended to do with the soil?,Clean the soil.,"['Ignore the soil.', 'Do nothing with the soil.']"
1980,soil must be clean.,Agriculture,Beginner,"['irrigation', 'crop', 'soil']",Passive Voice,Easy,Writing,Clean the soil.,What must be done with the soil?,Clean the soil.,"['Ignore the soil.', 'Use a different soil.']"
1981,You should store the sales.,Retail,Advanced,"['sales', 'product', 'customer']",Modal Verbs,Difficult,Speaking,Store the sales.,What is recommended to do with the sales?,Store the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
1982,nurse must be check.,Healthcare,Beginner,"['patient', 'temperature', 'nurse']",Passive Voice,Easy,Reading,Check the nurse.,What must be done with the nurse?,Check the nurse.,"['Ignore the nurse.', 'Use a different nurse.']"
1983,Please store the hardware.,IT,Intermediate,"['reboot', 'network', 'hardware']",Imperative Sentences,Moderate,Listening,Store the hardware.,What should you do with the hardware?,Store the hardware.,"['Ignore the hardware.', 'Do nothing with the hardware.']"
1984,the supervisor said to clean the workstation.,Hospitality,Intermediate,"['clean', 'shift', 'workstation']",Reported Speech,Moderate,Speaking,Clean the workstation.,What did the supervisor say?,Clean the workstation.,"['Ignore the workstation.', 'Do nothing with the workstation.']"
1985,the supervisor said to check the patient.,Healthcare,Advanced,"['stored', 'temperature', 'patient']",Reported Speech,Difficult,Reading,Check the patient.,What did the supervisor say?,Check the patient.,"['Do nothing with the patient.', 'Use a different patient.']"
1986,the supervisor said to inspect the clean.,Hospitality,Beginner,"['clean', 'service', 'shift']",Reported Speech,Easy,Writing,Inspect the clean.,What did the supervisor say?,Inspect the clean.,"['Use a different clean.', 'Do nothing with the clean.']"
1987,You should store the engine.,Automotive,Advanced,"['repair', 'engine', 'brakes']",Modal Verbs,Difficult,Reading,Store the engine.,What is recommended to do with the engine?,Store the engine.,"['Use a different engine.', 'Do nothing with the engine.']"
1988,Please inspect the secured.,Construction,Intermediate,"['equipment', 'tools', 'secured']",Imperative Sentences,Moderate,Speaking,Inspect the secured.,What should you do with the secured?,Inspect the secured.,"['Do nothing with the secured.', 'Ignore the secured.']"
1989,network must be secure.,IT,Advanced,"['reboot', 'system', 'network']",Passive Voice,Difficult,Listening,Secure the network.,What must be done with the network?,Secure the network.,"['Do nothing with the network.', 'Use a different network.']"
1990,"If it is damaged, inspect the temperature.",Healthcare,Beginner,"['nurse', 'temperature', 'patient']",Conditional Sentences,Easy,Listening,Inspect the temperature.,What happens if the it is damaged?,Inspect the temperature.,"['Do nothing with the temperature.', 'Use a different temperature.']"
1991,the supervisor said to clean the brakes.,Automotive,Intermediate,"['inspection', 'brakes', 'oil']",Reported Speech,Moderate,Reading,Clean the brakes.,What did the supervisor say?,Clean the brakes.,"['Ignore the brakes.', 'Do nothing with the brakes.']"
1992,Please secure the service.,Hospitality,Intermediate,"['clean', 'hygiene', 'service']",Imperative Sentences,Moderate,Speaking,Secure the service.,What should you do with the service?,Secure the service.,"['Do nothing with the service.', 'Ignore the service.']"
1993,Please clean the equipment.,Construction,Intermediate,"['harness', 'secured', 'equipment']",Imperative Sentences,Moderate,Speaking,Clean the equipment.,What should you do with the equipment?,Clean the equipment.,"['Use a different equipment.', 'Ignore the equipment.']"
